,GeoName,IndustryClassification,Description,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
3578,"Tampa-St. Petersburg-Clearwater, FL",31-33,  Manufacturing,7911.5,7402.9,6888.7,6836.9,6624.0,6675.0,7175.6,7502.3,8072.0,8560.9,8864.8
3600,"Tampa-St. Petersburg-Clearwater, FL",42,  Wholesale trade,,8286.0,7094.0,7111.4,7082.7,7519.4,7940.7,8248.9,8661.9,8636.4,8902.3
3601,"Tampa-St. Petersburg-Clearwater, FL",44-45,  Retail trade,10094.7,9157.8,9103.9,9149.5,8924.2,8932.3,8863.5,9474.1,10069.7,10547.4,10628.2
3602,"Tampa-St. Petersburg-Clearwater, FL",48-49,  Transportation and warehousing,,2273.7,2316.4,2300.9,2394.7,2249.9,2368.4,2360.0,2322.0,2326.3,2348.2
3611,"Tampa-St. Petersburg-Clearwater, FL",51,  Information,6728.1,6510.0,5640.7,5590.7,5794.9,5711.2,6389.5,6026.4,6500.2,6907.9,6700.8
3616,"Tampa-St. Petersburg-Clearwater, FL","52, 53","  Finance, insurance, real estate, rental, and leasing",24084.3,23141.3,23982.2,22829.7,22866.7,23547.5,27887.2,25837.9,26020.1,26445.5,27873.0
3617,"Tampa-St. Petersburg-Clearwater, FL",52,   Finance and insurance,8103.8,7192.6,7768.9,7953.3,8144.0,8588.5,8652.7,9297.8,9745.8,9600.3,10291.8
3622,"Tampa-St. Petersburg-Clearwater, FL",53,   Real estate and rental and leasing,15937.7,15961.3,16213.3,14865.3,14703.2,14925.9,19321.3,16495.6,16187.0,16795.7,17506.1
3625,"Tampa-St. Petersburg-Clearwater, FL","54, 55, 56",  Professional and business services,16608.4,15848.6,15066.7,15594.7,15443.4,16376.7,16930.7,17351.4,18575.1,19256.6,19680.0
3626,"Tampa-St. Petersburg-Clearwater, FL",54,"   Professional, scientific, and technical services",8632.6,8714.2,8340.6,8553.5,8564.5,8829.4,9384.3,9637.2,10425.6,11051.2,
3627,"Tampa-St. Petersburg-Clearwater, FL",55,   Management of companies and enterprises,2058.6,2125.1,2029.5,2247.9,2302.2,2767.9,2804.6,2945.1,3318.2,3417.6,
3628,"Tampa-St. Petersburg-Clearwater, FL",56,   Administrative and support and waste management and remediation services,5911.0,5009.2,4696.6,4792.9,4572.5,4779.3,4731.1,4758.6,4823.8,4775.2,5178.9
3631,"Tampa-St. Petersburg-Clearwater, FL","61, 62","  Educational services, health care, and social assistance",10450.7,11171.5,11225.1,11409.5,11475.0,11494.4,11553.5,11808.8,12366.0,12582.8,12890.7
3632,"Tampa-St. Petersburg-Clearwater, FL",61,   Educational services,884.8,930.9,948.3,1013.1,1041.3,1026.0,969.7,1011.9,985.6,977.1,983.0
3633,"Tampa-St. Petersburg-Clearwater, FL",62,   Health care and social assistance,9566.2,10240.6,10276.9,10396.2,10433.3,10468.5,10587.0,10798.7,11389.3,11617.6,11922.1
3637,"Tampa-St. Petersburg-Clearwater, FL","71, 72","  Arts, entertainment, recreation, accommodation, and food services",6064.9,6140.4,5634.0,6192.0,6928.4,6876.3,6280.3,5615.5,5739.0,5664.6,5558.4
3638,"Tampa-St. Petersburg-Clearwater, FL",71,"   Arts, entertainment, and recreation",1445.2,1712.0,1651.3,1746.7,1716.6,1769.5,1588.3,1686.2,1757.9,1676.4,1599.3
3641,"Tampa-St. Petersburg-Clearwater, FL",72,   Accommodation and food services,4630.6,4430.1,3982.6,4445.2,5211.9,5107.1,4691.9,3935.6,3988.5,3993.6,3962.5
3644,"Tampa-St. Petersburg-Clearwater, FL",81,  Other services (except government and government enterprises),2968.9,2904.7,2672.7,2572.7,2515.9,2602.1,2663.0,2727.0,2810.0,2877.2,2886.5
3649,"Tampa-St. Petersburg-Clearwater, FL","11, 21",Natural resources and mining,612.8,730.7,599.9,604.0,562.1,555.0,343.8,476.6,451.0,539.3,439.2
3650,"Tampa-St. Petersburg-Clearwater, FL","42, 44-45",Trade,,17424.4,16197.9,16260.8,16008.3,16458.2,16816.7,17733.3,18741.4,19189.2,19540.4
3656,"Washington-Arlington-Alexandria, DC-VA-MD-WV",11,"  Agriculture, forestry, fishing, and hunting",,,,,,,193.0,144.1,,,
3659,"Washington-Arlington-Alexandria, DC-VA-MD-WV",21,"  Mining, quarrying, and oil and gas extraction",,,,,,,,,,,
3663,"Washington-Arlington-Alexandria, DC-VA-MD-WV",22,  Utilities,,,,,,,,,,,
3664,"Washington-Arlington-Alexandria, DC-VA-MD-WV",23,  Construction,,,,,,,,,,,
3665,"Washington-Arlington-Alexandria, DC-VA-MD-WV",31-33,  Manufacturing,,9088.3,,,,,9697.2,9944.1,10779.6,,
3687,"Washington-Arlington-Alexandria, DC-VA-MD-WV",42,  Wholesale trade,,,,,,,12759.5,12488.2,12699.3,12764.5,13249.8
3688,"Washington-Arlington-Alexandria, DC-VA-MD-WV",44-45,  Retail trade,,,,,,16480.3,16699.2,17075.5,,,
3689,"Washington-Arlington-Alexandria, DC-VA-MD-WV",48-49,  Transportation and warehousing,,,,,,,,,,,5606.5
3698,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51,  Information,,,,28076.1,,,26007.5,25112.2,26652.3,,27801.8
3703,"Washington-Arlington-Alexandria, DC-VA-MD-WV","52, 53","  Finance, insurance, real estate, rental, and leasing",79556.2,,,84547.4,85244.3,,88917.1,91383.8,91568.3,92402.3,95109.5
3704,"Washington-Arlington-Alexandria, DC-VA-MD-WV",52,   Finance and insurance,,,,,,,17850.5,,,,
3709,"Washington-Arlington-Alexandria, DC-VA-MD-WV",53,   Real estate and rental and leasing,,64805.1,65115.6,,,70750.0,71032.3,,,,
3712,"Washington-Arlington-Alexandria, DC-VA-MD-WV","54, 55, 56",  Professional and business services,88059.0,93500.4,93453.4,97142.4,100360.9,101549.7,99163.1,98918.9,101628.8,103764.0,106708.0
3713,"Washington-Arlington-Alexandria, DC-VA-MD-WV",54,"   Professional, scientific, and technical services",,,,,,,,,,,
3714,"Washington-Arlington-Alexandria, DC-VA-MD-WV",55,   Management of companies and enterprises,,,,,,,,,,,
3715,"Washington-Arlington-Alexandria, DC-VA-MD-WV",56,   Administrative and support and waste management and remediation services,,,,,,,13684.2,13953.2,14100.0,14145.6,14951.5
3718,"Washington-Arlington-Alexandria, DC-VA-MD-WV","61, 62","  Educational services, health care, and social assistance",23035.3,24283.4,25232.2,25302.5,25695.0,25928.4,26165.3,26735.5,27422.0,27875.1,28474.0
3719,"Washington-Arlington-Alexandria, DC-VA-MD-WV",61,   Educational services,,,,,,,5805.0,5812.8,5770.2,5803.6,
3720,"Washington-Arlington-Alexandria, DC-VA-MD-WV",62,   Health care and social assistance,,,,,,,20363.8,20935.0,21682.0,22108.9,
3724,"Washington-Arlington-Alexandria, DC-VA-MD-WV","71, 72","  Arts, entertainment, recreation, accommodation, and food services",13026.1,12822.6,12165.8,12935.0,13399.7,13468.1,13126.2,13417.1,13875.1,14128.7,14698.0
3725,"Washington-Arlington-Alexandria, DC-VA-MD-WV",71,"   Arts, entertainment, and recreation",2487.3,2563.3,,,,,,,,,
3728,"Washington-Arlington-Alexandria, DC-VA-MD-WV",72,   Accommodation and food services,10543.1,10260.7,,,,,,,,,
3731,"Washington-Arlington-Alexandria, DC-VA-MD-WV",81,  Other services (except government and government enterprises),14920.2,14994.2,14549.1,14526.6,14645.7,14858.9,14809.9,15048.0,15350.2,15432.5,15581.4
3736,"Washington-Arlington-Alexandria, DC-VA-MD-WV","11, 21",Natural resources and mining,480.5,437.7,416.8,520.3,456.3,421.8,,,,455.0,567.8
3737,"Washington-Arlington-Alexandria, DC-VA-MD-WV","42, 44-45",Trade,30063.6,29129.4,27179.8,28403.3,28676.8,,29455.2,29553.0,,,
